baseline_cost,baseline_carbon_tonnes,baseline_reliability,baseline_gas_used,baseline_unserved_mw
2934560.0,17974.18,1.0,36682.0,0.0
18549886.4,20165.25,0.9333,41153.6,3051.5
2023120.0,12391.61,1.0,25289.0,0.0
24666222.0,25253.2,0.9283,51537.2,4108.7
4254008.0,26055.8,1.0,53175.1,0.0
3310528.0,20276.98,1.0,41381.6,0.0
10593134.4,21128.4,0.9702,43119.2,1428.7
2279376.0,13961.18,1.0,28492.2,0.0
3620384.8,15224.82,0.9934,31071.1,226.9
2864296.0,17543.81,1.0,35803.7,0.0
2342352.0,14346.91,1.0,29279.4,0.0
2005760.0,12285.28,1.0,25072.0,0.0
3481616.0,21324.9,1.0,43520.2,0.0
13703633.2,26187.95,0.9682,53444.8,1885.6
3483780.0,19785.47,0.9989,40378.5,50.7
2164416.0,13257.05,1.0,27055.2,0.0
2755928.0,16880.06,1.0,34449.1,0.0
1994560.0,12216.68,1.0,24932.0,0.0
1971616.0,12076.15,1.0,24645.2,0.0
2919960.0,17884.76,1.0,36499.5,0.0
23004083.2,20747.11,0.9166,42341.0,3923.4
1945888.0,11918.56,1.0,24323.6,0.0
18263222.4,19487.44,0.9317,39770.3,3016.3
2773144.0,16985.51,1.0,34664.3,0.0
3295120.0,20182.61,1.0,41189.0,0.0
1852104.0,11344.14,1.0,23151.3,0.0
2201408.0,13483.62,1.0,27517.6,0.0
3238144.0,19833.63,1.0,40476.8,0.0
2853704.0,17478.94,1.0,35671.3,0.0
2067312.0,12662.29,1.0,25841.4,0.0
2228376.0,13648.8,1.0,27854.7,0.0
1896520.0,11616.18,1.0,23706.5,0.0
3515408.0,21531.87,1.0,43942.6,0.0
2467072.0,15110.82,1.0,30838.4,0.0
2108648.0,12915.47,1.0,26358.1,0.0
28708706.8,24238.2,0.9099,49465.7,4950.3
5101455.2,19711.2,0.9916,40226.9,376.7
22248868.4,19710.36,0.9148,40225.2,3806.2
27061700.8,24839.94,0.9183,50693.8,4601.2
3190752.0,19543.36,1.0,39884.4,0.0
22372944.8,19515.75,0.9133,39828.1,3837.3
3345064.0,20488.52,1.0,41813.3,0.0
1716232.0,10511.92,1.0,21452.9,0.0
4270048.0,26154.04,1.0,53375.6,0.0
3114104.0,19073.89,1.0,38926.3,0.0
2679744.0,16413.43,1.0,33496.8,0.0
3099248.0,18982.89,1.0,38740.6,0.0
26909040.8,27803.46,0.929,56741.8,4473.9
4147344.0,25402.48,1.0,51841.8,0.0
12703244.4,24741.29,0.9691,50492.4,1732.8
3369640.0,20639.04,1.0,42120.5,0.0
4170344.0,25543.36,1.0,52129.3,0.0
2361024.0,14461.27,1.0,29512.8,0.0
2122344.0,12999.36,1.0,26529.3,0.0
1954536.0,11971.53,1.0,24431.7,0.0
2504928.0,15342.68,1.0,31311.6,0.0
26391958.8,25480.05,0.923,52000.1,4446.4
3236040.0,19820.74,1.0,40450.5,0.0
2283160.0,13984.35,1.0,28539.5,0.0
2940288.0,18009.26,1.0,36753.6,0.0
2471968.0,15140.8,1.0,30899.6,0.0
2104840.0,12892.15,1.0,26310.5,0.0
2530616.0,15500.02,1.0,31632.7,0.0
16494209.2,19411.1,0.9395,39614.5,2665.0
2206736.0,13516.26,1.0,27584.2,0.0
26906300.4,22744.88,0.9101,46418.1,4638.6
2886656.0,17680.77,1.0,36083.2,0.0
30042519.2,31336.84,0.9298,63952.7,4985.3
31813984.0,26833.53,0.9098,54762.3,5486.6
14469107.6,21008.49,0.9537,42874.5,2207.8
2349392.0,14390.03,1.0,29367.4,0.0
1766128.0,10817.53,1.0,22076.6,0.0
2353064.0,14412.52,1.0,29413.3,0.0
4008248.0,24550.52,1.0,50103.1,0.0
4868384.0,29818.85,1.0,60854.8,0.0
1925520.0,11793.81,1.0,24069.0,0.0
4166451.6,25298.1,0.9999,51628.8,7.2
4149584.0,25416.2,1.0,51869.8,0.0
35968826.8,31552.18,0.9139,64392.2,6163.5
22252228.4,17893.44,0.9047,36517.2,3866.2
4997829.2,23858.59,0.9959,48691.0,220.5
3318784.0,20327.55,1.0,41484.8,0.0
3770000.0,23091.25,1.0,47125.0,0.0
2672000.0,16366.0,1.0,33400.0,0.0
3348664.0,20510.57,1.0,41858.3,0.0
1886504.0,11554.84,1.0,23581.3,0.0
1970632.0,12070.12,1.0,24632.9,0.0
2941760.0,18018.28,1.0,36772.0,0.0
2763568.0,16926.85,1.0,34544.6,0.0
2355240.0,14425.84,1.0,29440.5,0.0
2139112.0,13102.06,1.0,26738.9,0.0
4712336.0,28863.06,1.0,58904.2,0.0
3006744.0,18416.31,1.0,37584.3,0.0
3969888.0,24315.56,1.0,49623.6,0.0
2225056.0,13628.47,1.0,27813.2,0.0
2490720.0,15255.66,1.0,31134.0,0.0
2575640.0,15775.8,1.0,32195.5,0.0
2282672.0,13981.37,1.0,28533.4,0.0
4272120.0,26166.74,1.0,53401.5,0.0
2121504.0,12994.21,1.0,26518.8,0.0
1723872.0,10558.72,1.0,21548.4,0.0
1985768.0,12162.83,1.0,24822.1,0.0
27768280.4,28186.82,0.9275,57524.1,4633.3
2116376.0,12962.8,1.0,26454.7,0.0
3120648.0,19113.97,1.0,39008.1,0.0
3388576.0,20755.03,1.0,42357.2,0.0
2002832.0,12267.35,1.0,25035.4,0.0
2392200.0,14652.23,1.0,29902.5,0.0
3968408.0,24306.5,1.0,49605.1,0.0
17535226.8,16756.63,0.9221,34197.2,2959.9
2734408.0,16748.25,1.0,34180.1,0.0
7999075.6,24070.79,0.9851,49124.1,813.8
5718974.0,17454.56,0.9855,35621.6,573.8
4620312.0,28299.41,1.0,57753.9,0.0
2986312.0,18291.16,1.0,37328.9,0.0
28313214.4,24111.76,0.9108,49207.7,4875.3
2183376.0,13373.18,1.0,27292.2,0.0
2588608.0,15855.22,1.0,32357.6,0.0
26514131.6,22791.01,0.9118,46512.3,4558.6
4933792.0,30219.48,1.0,61672.4,0.0
2834032.0,17358.45,1.0,35425.4,0.0
1751944.0,10730.66,1.0,21899.3,0.0
2614160.0,16011.73,1.0,32677.0,0.0
15559185.6,14122.94,0.9172,28822.3,2650.7
2336328.0,14310.01,1.0,29204.1,0.0
2927712.0,17932.24,1.0,36596.4,0.0
4656000.0,28518.0,1.0,58200.0,0.0
2585312.0,15835.04,1.0,32316.4,0.0
1976216.0,12104.32,1.0,24702.7,0.0
2964816.0,18159.5,1.0,37060.2,0.0
3276624.0,20069.32,1.0,40957.8,0.0
3397568.0,20810.1,1.0,42469.6,0.0
3383952.0,20726.71,1.0,42299.4,0.0
3073456.0,18824.92,1.0,38418.2,0.0
10225628.4,21785.27,0.973,44459.7,1333.8
2557256.0,15663.19,1.0,31965.7,0.0
2492256.0,15265.07,1.0,31153.2,0.0
28691856.0,23537.49,0.9069,48035.7,4969.8
15743077.6,22253.21,0.952,45414.7,2422.0
3804544.0,23302.83,1.0,47556.8,0.0
3542784.0,21699.55,1.0,44284.8,0.0
2586048.0,15839.54,1.0,32325.6,0.0
2720760.0,16664.65,1.0,34009.5,0.0
11717319.2,30190.24,0.9802,61612.7,1357.7
21718961.6,20124.06,0.9192,41069.5,3686.7
3360336.0,20582.06,1.0,42004.2,0.0
4461848.0,27328.82,1.0,55773.1,0.0
29666901.2,25402.53,0.9114,51841.9,5103.9
2941528.0,18016.86,1.0,36769.1,0.0
7617402.8,19593.59,0.9801,39986.9,883.7
3830008.0,23458.8,1.0,47875.1,0.0
8371771.2,23152.32,0.9825,47249.6,918.4
3203008.0,19618.42,1.0,40037.6,0.0
3950928.0,24199.43,1.0,49386.6,0.0
2934536.0,17974.03,1.0,36681.7,0.0
4142000.0,25369.75,1.0,51775.0,0.0
2043160.0,12514.35,1.0,25539.5,0.0
3430504.0,21011.84,1.0,42881.3,0.0
2013832.0,12334.72,1.0,25172.9,0.0
3360288.0,20581.76,1.0,42003.6,0.0
3090176.0,18927.33,1.0,38627.2,0.0
2407776.0,14747.63,1.0,30097.2,0.0
21270140.4,26369.9,0.9433,53816.1,3393.0
13077418.0,22758.47,0.9637,46445.8,1872.3
3305272.0,20244.79,1.0,41315.9,0.0
4486168.0,27477.78,1.0,56077.1,0.0
2106776.0,12904.0,1.0,26334.7,0.0
16434850.8,16742.08,0.9278,34167.5,2740.3
4503568.0,27584.35,1.0,56294.6,0.0
12605169.6,17638.59,0.9514,35997.1,1945.1
3123680.0,19132.54,1.0,39046.0,0.0
20905055.6,16503.23,0.9027,33680.1,3642.1
25228220.8,19618.5,0.901,40037.8,4405.0
4354696.0,26672.51,1.0,54433.7,0.0
2939128.0,18002.16,1.0,36739.1,0.0
3406312.0,20863.66,1.0,42578.9,0.0
2595320.0,15896.33,1.0,32441.5,0.0
2952176.0,18082.08,1.0,36902.2,0.0
4240568.0,25973.48,1.0,53007.1,0.0
2972176.0,18204.58,1.0,37152.2,0.0
1754656.0,10747.27,1.0,21933.2,0.0
2641520.0,16179.31,1.0,33019.0,0.0
3459984.0,21192.4,1.0,43249.8,0.0
3126680.0,19150.92,1.0,39083.5,0.0
2855016.0,17486.97,1.0,35687.7,0.0
2407192.0,14744.05,1.0,30089.9,0.0
1980072.0,12127.94,1.0,24750.9,0.0
3802984.0,23293.28,1.0,47537.3,0.0
26318896.0,23954.24,0.9175,48886.2,4481.6
3517784.0,21546.43,1.0,43972.3,0.0
3658192.0,22406.43,1.0,45727.4,0.0
2833176.0,17353.2,1.0,35414.7,0.0
18722270.4,16988.73,0.9172,34670.9,3189.7
3220992.0,19728.58,1.0,40262.4,0.0
30683237.2,26984.83,0.9141,55071.1,5255.5
9271556.4,24210.33,0.9806,49408.8,1063.8
1871816.0,11464.87,1.0,23397.7,0.0
2255328.0,13813.88,1.0,28191.6,0.0
5016839.6,20305.54,0.9926,41439.9,340.3
21165174.0,20034.41,0.9212,40886.6,3578.8
3635752.0,22268.98,1.0,45446.9,0.0
6690817.2,16793.32,0.9793,34272.1,789.8
2917304.0,17868.49,1.0,36466.3,0.0
1621040.0,9928.87,1.0,20263.0,0.0
3947184.0,24176.5,1.0,49339.8,0.0
3791336.0,23221.93,1.0,47391.7,0.0
32742429.6,28478.37,0.913,58119.1,5618.6
3605920.0,22086.26,1.0,45074.0,0.0
21297094.0,17326.67,0.906,35360.6,3693.6
1945432.0,11915.77,1.0,24317.9,0.0
23188409.6,20745.43,0.9158,42337.6,3960.3
3013096.0,18455.21,1.0,37663.7,0.0
8348983.6,24054.92,0.9838,49091.7,884.3
1849088.0,11325.66,1.0,23113.6,0.0
3588808.0,21981.45,1.0,44860.1,0.0
3094184.0,18951.88,1.0,38677.3,0.0
15628822.4,21052.99,0.9489,42965.3,2438.3
17880599.2,22743.96,0.9451,46416.2,2833.5
2916552.0,17863.88,1.0,36456.9,0.0
15649380.0,25926.39,0.9612,52911.0,2283.3
22536598.0,22291.01,0.9252,45491.8,3779.5
22719071.2,19359.72,0.9109,39509.6,3911.7
3570120.0,21866.99,1.0,44626.5,0.0
2802424.0,17164.85,1.0,35030.3,0.0
2717344.0,16643.73,1.0,33966.8,0.0
14355574.8,24632.45,0.963,50270.3,2066.8
3902248.0,23901.27,1.0,48778.1,0.0
2351768.0,14404.58,1.0,29397.1,0.0
3109672.0,19046.74,1.0,38870.9,0.0
2779512.0,17024.51,1.0,34743.9,0.0
4481632.0,27450.0,1.0,56020.4,0.0
6457678.4,21437.98,0.9878,43751.0,591.5
3064496.0,18770.04,1.0,38306.2,0.0
3204776.0,19629.25,1.0,40059.7,0.0
2614016.0,16010.85,1.0,32675.2,0.0
2305728.0,14122.58,1.0,28821.6,0.0
2275064.0,13934.77,1.0,28438.3,0.0
24849903.6,20685.68,0.9084,42215.7,4294.5
3163904.0,19378.91,1.0,39548.8,0.0
3970696.0,24320.51,1.0,49633.7,0.0
1869808.0,11452.57,1.0,23372.6,0.0
2016104.0,12348.64,1.0,25201.3,0.0
3538632.0,21674.12,1.0,44232.9,0.0
21885331.2,18237.38,0.9086,37219.1,3781.6
2933344.0,17966.73,1.0,36666.8,0.0
4580768.0,28057.2,1.0,57259.6,0.0
4428896.0,27126.99,1.0,55361.2,0.0
8015522.0,23114.35,0.9838,47172.2,848.3
4393200.0,26908.35,1.0,54915.0,0.0
1722720.0,10551.66,1.0,21534.0,0.0
5980526.0,27858.19,0.9955,56853.5,286.4
2559144.0,15674.76,1.0,31989.3,0.0
2292736.0,14043.01,1.0,28659.2,0.0
2219840.0,13596.52,1.0,27748.0,0.0
2969008.0,18185.17,1.0,37112.6,0.0
4912662.0,20852.02,0.9936,42555.2,301.7
35518569.6,29192.79,0.9071,59577.1,6150.5
3165424.0,19388.22,1.0,39567.8,0.0
3550616.0,21747.52,1.0,44382.7,0.0
3384272.0,20728.67,1.0,42303.4,0.0
10843807.2,25936.36,0.9775,52931.3,1321.9
10080088.4,23683.77,0.9769,48334.2,1242.7
14942944.8,23815.5,0.9591,48603.1,2210.9
2744104.0,16807.64,1.0,34301.3,0.0
2310712.0,14153.11,1.0,28883.9,0.0
3116008.0,19085.55,1.0,38950.1,0.0
1960312.0,12006.91,1.0,24503.9,0.0
26672422.8,24184.4,0.9171,49355.9,4544.8
2657760.0,16278.78,1.0,33222.0,0.0
19031601.6,23208.86,0.9421,47365.0,3048.5
3865056.0,23673.47,1.0,48313.2,0.0
1683536.0,10311.66,1.0,21044.2,0.0
3482792.0,21332.1,1.0,43534.9,0.0
3512328.0,21513.01,1.0,43904.1,0.0
4642416.0,21103.17,0.995,43067.7,239.4
3003120.0,18394.11,1.0,37539.0,0.0
2575104.0,15772.51,1.0,32188.8,0.0
4441632.0,27205.0,1.0,55520.4,0.0
2734672.0,16749.87,1.0,34183.4,0.0
1668464.0,10219.34,1.0,20855.8,0.0
3103176.0,19006.95,1.0,38789.7,0.0
1822528.0,11162.98,1.0,22781.6,0.0
26833600.4,24795.53,0.919,50603.1,4557.1
15258541.2,18289.2,0.9408,37324.9,2454.5
18007181.2,16081.99,0.9156,32820.4,3076.3
2167808.0,13277.82,1.0,27097.6,0.0
2228048.0,13646.79,1.0,27850.6,0.0
8540572.0,23649.07,0.9825,48263.4,935.9
1816712.0,11127.36,1.0,22708.9,0.0
24242914.4,20021.49,0.9076,40860.2,4194.8
2107296.0,12907.19,1.0,26341.2,0.0
2540112.0,15558.19,1.0,31751.4,0.0
16394053.6,19313.07,0.9395,39414.4,2648.2
4668176.0,28592.58,1.0,58352.2,0.0
2453672.0,15028.74,1.0,30670.9,0.0
2845456.0,17428.42,1.0,35568.2,0.0
2680264.0,16416.62,1.0,33503.3,0.0
1986072.0,12164.69,1.0,24825.9,0.0
26448630.0,20827.33,0.9024,42504.8,4609.7
2536048.0,15533.29,1.0,31700.6,0.0
19668084.4,25224.19,0.9456,51477.9,3110.0
2722120.0,16672.99,1.0,34026.5,0.0
3231656.0,19793.89,1.0,40395.7,0.0
2473288.0,15148.89,1.0,30916.1,0.0
3040648.0,18623.97,1.0,38008.1,0.0
4270752.0,26158.36,1.0,53384.4,0.0
2580104.0,15803.14,1.0,32251.3,0.0
3353428.4,14299.29,0.9937,29182.2,203.8
2090656.0,12805.27,1.0,26133.2,0.0
4452056.0,27268.84,1.0,55650.7,0.0
4810480.0,29464.19,1.0,60131.0,0.0
1981352.0,12135.78,1.0,24766.9,0.0
2991608.0,18323.6,1.0,37395.1,0.0
4486664.0,27480.82,1.0,56083.3,0.0
3337632.0,20443.0,1.0,41720.4,0.0
3920408.0,24012.5,1.0,49005.1,0.0
6758462.4,21436.66,0.9866,43748.3,651.7
4176792.0,25582.85,1.0,52209.9,0.0
22228162.4,17456.63,0.9021,35625.8,3875.6
4879488.0,29886.86,1.0,60993.6,0.0
3335496.0,20429.91,1.0,41693.7,0.0
43531874.0,34025.13,0.9016,69439.1,7595.3
2713664.0,16621.19,1.0,33920.8,0.0
2299904.0,14086.91,1.0,28748.8,0.0
1709744.0,10472.18,1.0,21371.8,0.0
4014272.0,24587.42,1.0,50178.4,0.0
2642072.0,16182.69,1.0,33025.9,0.0
15653120.4,27732.59,0.9646,56597.1,2225.1
21647772.4,19746.52,0.9177,40299.0,3684.8
3978872.0,24370.59,1.0,49735.9,0.0
5689042.8,21134.88,0.9907,43132.4,447.7
4202040.0,25737.49,1.0,52525.5,0.0
2908304.0,17813.36,1.0,36353.8,0.0
13672982.0,18397.86,0.9489,37546.7,2133.8
2214976.0,13566.73,1.0,27687.2,0.0
3149808.0,19292.57,1.0,39372.6,0.0
29852059.2,24587.34,0.9073,50178.2,5167.6
3180104.0,19478.14,1.0,39751.3,0.0
2575408.0,15774.37,1.0,32192.6,0.0
2956592.0,18109.13,1.0,36957.4,0.0
2240760.0,13724.66,1.0,28009.5,0.0
25185912.0,23415.34,0.9195,47786.4,4272.6
3286488.0,20129.74,1.0,41081.1,0.0
30635993.2,24095.4,0.9023,49174.3,5340.4
4495912.0,27537.46,1.0,56198.9,0.0
19841882.4,27438.67,0.9506,55997.3,3072.4
2391600.0,14648.55,1.0,29895.0,0.0
3069744.0,18802.18,1.0,38371.8,0.0
4514987.2,21114.02,0.9955,43089.8,213.6
2610072.0,15986.69,1.0,32625.9,0.0
3690336.0,22603.31,1.0,46129.2,0.0
3136464.0,19210.84,1.0,39205.8,0.0
2563160.0,15699.35,1.0,32039.5,0.0
3278072.0,20078.19,1.0,40975.9,0.0
2884704.0,17668.81,1.0,36058.8,0.0
3191968.0,19550.8,1.0,39899.6,0.0
3278272.0,20079.42,1.0,40978.4,0.0
3375696.0,20676.14,1.0,42196.2,0.0
3109752.0,19047.23,1.0,38871.9,0.0
2690016.0,16476.35,1.0,33625.2,0.0
4331008.0,26527.42,1.0,54137.6,0.0
2748088.0,16832.04,1.0,34351.1,0.0
2938168.0,17996.28,1.0,36727.1,0.0
3328504.0,20387.09,1.0,41606.3,0.0
33543044.0,28919.46,0.9121,59019.3,5764.3
17118147.6,16298.61,0.9218,33262.5,2891.4
3628144.0,22222.38,1.0,45351.8,0.0
2219384.0,13593.73,1.0,27742.3,0.0
3548696.0,21735.76,1.0,44358.7,0.0
4492064.0,27513.89,1.0,56150.8,0.0
2903040.0,17781.12,1.0,36288.0,0.0
4802844.8,28534.2,0.9996,58233.1,28.8
2630280.0,16110.47,1.0,32878.5,0.0
3481640.0,21325.04,1.0,43520.5,0.0
2552080.0,15631.49,1.0,31901.0,0.0
9822985.2,19017.73,0.9688,38811.7,1343.6
1582912.0,9695.34,1.0,19786.4,0.0
4452888.0,27273.94,1.0,55661.1,0.0
3786312.0,23191.16,1.0,47328.9,0.0
2542264.0,15571.37,1.0,31778.3,0.0
1652984.0,10124.53,1.0,20662.3,0.0
4522467.2,21760.09,0.9961,44408.3,194.0
5164764.4,21173.6,0.9929,43211.4,341.6
3341992.0,20469.7,1.0,41774.9,0.0
5470020.8,21062.78,0.9915,42985.3,406.2
11624219.6,22583.3,0.969,46088.4,1587.4
2927504.0,17930.96,1.0,36593.8,0.0
3439208.0,21065.15,1.0,42990.1,0.0
4250152.0,26032.18,1.0,53126.9,0.0
1983056.0,12146.22,1.0,24788.2,0.0
2842496.0,17410.29,1.0,35531.2,0.0
27498724.8,23094.46,0.9094,47131.6,4745.6
21284958.0,22403.46,0.9306,45721.3,3525.5
3799890.4,18845.34,0.9966,38459.9,144.6
27604960.0,23562.63,0.9111,48087.0,4751.6
2364816.0,14484.5,1.0,29560.2,0.0
2268152.0,13892.43,1.0,28351.9,0.0
1928832.0,11814.1,1.0,24110.4,0.0
39672271.6,32215.18,0.9058,65745.3,6882.5
4539164.4,26002.55,0.999,53066.4,58.8
15309524.8,14395.74,0.9206,29379.1,2591.8
1902128.0,11650.53,1.0,23776.6,0.0
2552432.0,15633.65,1.0,31905.4,0.0
2073840.0,12702.27,1.0,25923.0,0.0
2041592.0,12504.75,1.0,25519.9,0.0
10094290.4,20752.67,0.9715,42352.4,1341.2
22180159.2,23672.26,0.9318,48310.7,3663.1
24911543.6,22282.1,0.9158,45473.7,4254.7
26589619.2,26563.02,0.9261,54210.2,4450.6
1981904.0,12139.16,1.0,24773.8,0.0
4127864.0,25283.17,1.0,51598.3,0.0
2828976.0,17327.48,1.0,35362.2,0.0
2507032.0,15355.57,1.0,31337.9,0.0
2457392.0,15051.53,1.0,30717.4,0.0
1823824.0,11170.92,1.0,22797.8,0.0
17383252.8,22289.2,0.9456,45488.2,2748.8
2888488.0,17691.99,1.0,36106.1,0.0
2153232.0,13188.55,1.0,26915.4,0.0
35770792.8,28604.32,0.9041,58376.2,6220.1
4389024.0,26882.77,1.0,54862.8,0.0
1871944.0,11465.66,1.0,23399.3,0.0
2824352.0,17299.16,1.0,35304.4,0.0
3098728.0,18979.71,1.0,38734.1,0.0
3669336.0,22474.68,1.0,45866.7,0.0
4358528.0,26695.98,1.0,54481.6,0.0
2223928.0,13621.56,1.0,27799.1,0.0
2969520.0,18188.31,1.0,37119.0,0.0
1892576.0,11592.03,1.0,23657.2,0.0
2183472.0,13373.77,1.0,27293.4,0.0
21766340.0,20383.02,0.9202,41598.0,3687.7
5595098.8,26029.1,0.9954,53120.6,269.1
1692616.0,10367.27,1.0,21157.7,0.0
23187902.8,20310.21,0.9137,41449.4,3974.4
3336216.0,20434.32,1.0,41702.7,0.0
6657915.2,23318.58,0.9892,47588.9,570.2
12313546.4,29715.11,0.9779,60643.1,1492.4
8968787.6,27431.66,0.9856,55983.0,898.0
2288384.0,14016.35,1.0,28604.8,0.0
26502734.0,25041.96,0.9211,51106.1,4482.8
2134968.0,13076.68,1.0,26687.1,0.0
2094368.0,12828.0,1.0,26179.6,0.0
23190489.6,27201.67,0.9392,55513.6,3749.9
3283384.0,20110.73,1.0,41042.3,0.0
5955440.8,19512.66,0.9875,39821.8,553.9
2385488.0,14611.11,1.0,29818.6,0.0
3837192.0,23502.8,1.0,47964.9,0.0
2734592.0,16749.38,1.0,34182.4,0.0
2932936.0,17964.23,1.0,36661.7,0.0
2388560.0,14629.93,1.0,29857.0,0.0
2390992.0,14644.83,1.0,29887.4,0.0
38106806.4,30963.14,0.9059,63190.1,6610.3
2443440.0,14966.07,1.0,30543.0,0.0
21193226.8,22158.88,0.93,45222.2,3515.1
33312531.2,27156.6,0.9062,55421.6,5775.8
4539254.4,24583.63,0.9981,50170.7,105.1
3393416.0,20784.67,1.0,42417.7,0.0
3775024.0,23122.02,1.0,47187.8,0.0
3641344.0,22303.23,1.0,45516.8,0.0
3337632.0,20443.0,1.0,41720.4,0.0
2851224.0,17463.75,1.0,35640.3,0.0
2633248.0,16128.64,1.0,32915.6,0.0
3314536.0,20301.53,1.0,41431.7,0.0
16846160.8,17642.82,0.9302,36005.8,2793.1
3159304.0,19350.74,1.0,39491.3,0.0
3092160.0,18939.48,1.0,38652.0,0.0
1785184.0,10934.25,1.0,22314.8,0.0
3963712.0,24277.74,1.0,49546.4,0.0
11868525.2,19544.72,0.9608,39887.2,1735.5
4537880.0,27794.51,1.0,56723.5,0.0
3956472.0,24233.39,1.0,49455.9,0.0
2268416.0,13894.05,1.0,28355.2,0.0
2591576.0,15873.4,1.0,32394.7,0.0
2748352.0,16833.66,1.0,34354.4,0.0
4005408.0,24533.12,1.0,50067.6,0.0
2992976.0,18331.98,1.0,37412.2,0.0
