scenario_id,demand_mw,solar_mw,wind_mw,coal_mw,renewable_mw,unserved_pct,risk_label,baseline_cost_inr,optimal_cost_inr,cost_saving_inr,baseline_unserved,optimal_unserved,lng_price,stress_event,crisis_event,baseline_blackout,optimal_blackout,renewable_pct
21,101002.0,0.0,2149.0,36404.0,2149.0,54.7,HIGH,3422389316.0,3393696817.0,28692499.0,55208.0,54659.94658319453,10.8,False,False,1,1,2.1
22,78485.0,0.0,4307.0,39326.0,4307.0,36.3,HIGH,1826515717.0,1798642514.0,27873203.0,28504.0,27968.357554647344,11.2,False,False,1,1,5.5
23,66355.0,628.0,1808.0,36826.0,2436.0,33.4,HIGH,1420191806.0,1415910105.0,4281702.0,22140.0,22047.32578063352,19.57,True,False,1,1,3.7
24,128376.0,33.0,1958.0,34619.0,1991.0,66.5,HIGH,5226003846.0,5195231435.0,30772412.0,85361.0,84781.09144530425,9.8,False,False,1,1,1.6
25,90860.0,22509.0,500.0,37327.0,23009.0,27.0,HIGH,1585736355.0,1564345740.0,21390616.0,24542.0,24111.96580934652,14.5,False,False,1,1,25.3
26,76703.0,13945.0,2578.0,37355.0,16523.0,20.7,HIGH,1065117792.0,1040645450.0,24472342.0,15861.0,15380.01586110102,12.9,False,False,1,1,21.5
27,94004.0,0.0,4162.0,36807.0,4162.0,50.5,HIGH,2958363830.0,2931100736.0,27263094.0,47462.0,46936.35711517305,11.5,False,False,1,1,4.4
28,96969.0,2806.0,500.0,37334.0,3306.0,53.5,HIGH,3204585492.0,3200832469.0,3753023.0,51849.0,51762.00343853764,23.42,True,False,1,1,3.4
29,82320.0,18252.0,3027.0,35082.0,21279.0,24.3,HIGH,1305589795.0,1277716591.0,27873203.0,19980.0,19444.94150902592,11.2,False,False,1,1,25.8
30,71669.0,5433.0,1272.0,35432.0,6705.0,28.9,HIGH,1353890966.0,1331740778.0,22150188.0,20724.0,20281.149937160095,14.1,False,False,1,1,9.4
31,67994.0,10677.0,7002.0,37221.0,17680.0,4.8,LOW,310353026.0,289527710.0,20825316.0,3258.0,2837.3589088451895,14.8,False,False,1,1,26.0
32,71458.0,14113.0,7953.0,37493.0,22065.0,5.9,LOW,352533912.0,347760418.0,4773494.0,4228.0,4116.507021298693,24.37,True,False,1,1,30.9
33,96802.0,202.0,5445.0,34590.0,5647.0,54.1,HIGH,3241236154.0,3232863881.0,8372274.0,52361.0,52166.30591040991,23.92,True,False,1,1,5.8
34,72193.0,0.0,3225.0,34294.0,3225.0,39.3,HIGH,1811091334.0,1789700718.0,21390616.0,28407.0,27976.700122640246,14.5,False,False,1,1,4.5
35,103438.0,19268.0,1123.0,39698.0,20391.0,36.0,HIGH,2349861826.0,2328471210.0,21390616.0,37189.0,36758.96732238339,14.5,False,False,1,1,19.7
36,115144.0,9177.0,5420.0,36467.0,14597.0,49.9,HIGH,3555692042.0,3531806726.0,23885316.0,57404.0,56932.16133626817,13.2,False,False,1,1,12.7
37,115161.0,0.0,500.0,37771.0,500.0,61.8,HIGH,4384561814.0,4357298721.0,27263094.0,71196.0,70669.96052657731,11.5,False,False,1,1,0.4
38,85317.0,16944.0,3619.0,38235.0,20563.0,25.9,HIGH,1412279181.0,1410321394.0,1957787.0,22062.0,22023.352018180813,12.9,False,True,1,1,24.1
39,92651.0,856.0,6045.0,39257.0,6901.0,42.1,HIGH,2461050405.0,2437165089.0,23885316.0,39051.0,38579.45105073395,13.2,False,False,1,1,7.4
40,71783.0,3343.0,4504.0,36350.0,7847.0,25.9,HIGH,1229040083.0,1208214767.0,20825316.0,18609.0,18187.90985311723,14.8,False,False,1,1,10.9
41,85383.0,12528.0,500.0,38716.0,13028.0,34.0,HIGH,1848839832.0,1839526199.0,9313633.0,29049.0,28845.987424143586,19.89,True,False,1,1,15.3
42,78425.0,2749.0,1051.0,37958.0,3800.0,38.9,HIGH,1946696022.0,1925305406.0,21390616.0,30534.0,30103.560254705208,14.5,False,False,1,1,4.8
43,76509.0,9302.0,7853.0,34716.0,17155.0,19.8,MEDIUM,1014386682.0,1008088738.0,6297944.0,15181.0,15018.202543497197,29.91,True,False,1,1,22.4
44,104525.0,84.0,3348.0,35483.0,3432.0,59.6,HIGH,3825718325.0,3822511669.0,3206656.0,62342.0,62273.812505246744,17.92,True,False,1,1,3.3
45,67659.0,615.0,4982.0,39711.0,5598.0,23.4,HIGH,1068084148.0,1038772032.0,29312116.0,15860.0,15302.519436141283,10.5,False,False,1,1,8.3
46,123221.0,642.0,4619.0,39775.0,5261.0,60.9,HIGH,4598233479.0,4594225139.0,4008340.0,75027.0,74940.27814620892,19.17,True,False,1,1,4.3
47,134135.0,8913.0,500.0,39533.0,9413.0,61.1,HIGH,5022538846.0,5013892259.0,8646587.0,81970.0,81784.54196552529,18.72,True,False,1,1,7.0
48,137033.0,0.0,1851.0,37751.0,1851.0,65.7,HIGH,5519163576.0,5495278261.0,23885316.0,90076.0,89603.93141421248,13.2,False,False,1,1,1.4
49,101903.0,7924.0,5702.0,38265.0,13626.0,42.8,HIGH,2731019897.0,2703756803.0,27263094.0,43613.0,43086.939901171696,11.5,False,False,1,1,13.4
50,81834.0,23392.0,3414.0,37470.0,26805.0,13.9,MEDIUM,794215224.0,764903108.0,29312116.0,11381.0,10822.809361281732,10.5,False,False,1,1,32.8
51,67755.0,0.0,5174.0,36690.0,5174.0,28.9,HIGH,1283825619.0,1255133120.0,28692499.0,19563.0,19014.30362127539,10.8,False,False,1,1,7.6
52,118452.0,18449.0,2292.0,38481.0,20741.0,43.7,HIGH,3220210935.0,3196325619.0,23885316.0,51732.0,51260.10071673929,13.2,False,False,1,1,17.5
53,69071.0,825.0,3937.0,36216.0,4762.0,31.3,HIGH,1407683382.0,1378990883.0,28692499.0,21643.0,21094.99767618312,10.8,False,False,1,1,6.9
54,57241.0,0.0,7048.0,37822.0,7048.0,6.1,LOW,325024636.0,302874448.0,22150188.0,3488.0,3045.120106106867,14.1,False,False,1,1,12.3
55,89960.0,15362.0,1313.0,33389.0,16675.0,38.5,HIGH,2164666453.0,2158154414.0,6512039.0,34599.0,34457.46040814891,19.6,True,False,1,1,18.5
56,100320.0,4614.0,3148.0,36932.0,7763.0,48.0,HIGH,3002100956.0,2978215640.0,23885316.0,48154.0,47681.96591182298,13.2,False,False,1,1,7.7
57,63867.0,0.0,2579.0,34849.0,2579.0,31.5,HIGH,1314518453.0,1293127837.0,21390616.0,20110.0,19679.62944008368,14.5,False,False,1,1,4.0
58,70303.0,0.0,500.0,35146.0,500.0,41.3,HIGH,1848669593.0,1827278978.0,21390616.0,29007.0,28576.909945776646,14.5,False,False,1,1,0.7
59,75186.0,13985.0,500.0,39517.0,14485.0,19.4,MEDIUM,990005196.0,962131992.0,27873203.0,14553.0,14017.147359488,11.2,False,False,1,1,19.3
60,80675.0,21243.0,1673.0,35738.0,22916.0,18.3,MEDIUM,995054863.0,972330622.0,22724242.0,14746.0,14293.179312519867,13.8,False,False,1,1,28.4
61,61517.0,9647.0,1452.0,37439.0,11099.0,5.5,LOW,320014673.0,299189357.0,20825316.0,3413.0,2992.64702734936,14.8,False,False,1,1,18.0
62,71334.0,0.0,3305.0,38153.0,3305.0,32.8,HIGH,1520835364.0,1496363022.0,24472342.0,23432.0,22950.389052123424,12.9,False,False,1,1,4.6
63,77872.0,20556.0,4035.0,40984.0,24592.0,6.0,LOW,404623162.0,381898921.0,22724242.0,4710.0,4257.686128286625,13.8,False,False,1,1,31.6
64,80383.0,23169.0,2811.0,38178.0,25980.0,10.8,MEDIUM,634991876.0,612267634.0,22724242.0,8653.0,8200.184183771982,13.8,False,False,1,1,32.3
65,87526.0,4068.0,3310.0,35348.0,7378.0,44.3,HIGH,2437326813.0,2415936197.0,21390616.0,38808.0,38377.618435522076,14.5,False,False,1,1,8.4
66,122286.0,6904.0,6137.0,38704.0,13041.0,54.2,HIGH,4070277470.0,4067620654.0,2656817.0,66241.0,66174.92536572958,27.92,True,False,1,1,10.7
67,86739.0,0.0,3641.0,35261.0,3641.0,47.6,HIGH,2586653781.0,2565263165.0,21390616.0,41295.0,40864.99573216007,14.5,False,False,1,1,4.2
68,69839.0,22040.0,3296.0,40132.0,25336.0,0.0,LOW,105922137.0,105922137.0,0.0,0.0,0.0,10.5,False,False,0,0,36.3
69,57291.0,1506.0,5430.0,37615.0,6936.0,4.6,LOW,273961552.0,253136236.0,20825316.0,2635.0,2214.1446667760133,14.8,False,False,1,1,12.1
70,77653.0,0.0,5137.0,37096.0,5137.0,37.5,HIGH,1857929740.0,1833457398.0,24472342.0,29090.0,28608.337321921048,12.9,False,False,1,1,6.6
71,73991.0,4502.0,2053.0,37676.0,6555.0,32.0,HIGH,1535668755.0,1514278140.0,21390616.0,23694.0,23264.003979926394,14.5,False,False,1,1,8.9
72,98319.0,10893.0,4502.0,32490.0,15396.0,44.5,HIGH,2727683288.0,2706292672.0,21390616.0,43746.0,43315.885185376574,14.5,False,False,1,1,15.7
73,74776.0,18916.0,500.0,37508.0,19416.0,15.3,MEDIUM,800208017.0,778817402.0,21390616.0,11440.0,11009.612010932924,14.5,False,False,1,1,26.0
74,69555.0,4508.0,3513.0,37021.0,8021.0,26.0,HIGH,1194468913.0,1165776414.0,28692499.0,18060.0,17511.85936457095,10.8,False,False,1,1,11.5
75,116739.0,19623.0,718.0,32580.0,20341.0,49.6,HIGH,3572893122.0,3545630028.0,27263094.0,57856.0,57330.261154971915,11.5,False,False,1,1,17.4
76,89176.0,9277.0,4455.0,38081.0,13732.0,36.4,HIGH,2048687161.0,2043173318.0,5513843.0,32455.0,32323.580115123586,25.21,True,False,1,1,15.4
77,124797.0,24456.0,500.0,35442.0,24956.0,46.5,HIGH,3584944630.0,3554172219.0,30772412.0,57980.0,57399.802844121536,9.8,False,False,1,1,20.0
78,80653.0,814.0,5711.0,36345.0,6525.0,39.1,HIGH,2001001346.0,1971689230.0,29312116.0,31534.0,30976.569403391255,10.5,False,False,1,1,8.1
79,118366.0,2851.0,3160.0,38976.0,6011.0,55.7,HIGH,4072755459.0,4048870144.0,23885316.0,65923.0,65451.38263000504,13.2,False,False,1,1,5.1
80,81366.0,2036.0,4117.0,37437.0,6153.0,39.1,HIGH,2019169825.0,1989857709.0,29312116.0,31799.0,31241.614381481155,10.5,False,False,1,1,7.6
81,80618.0,0.0,7393.0,35517.0,7393.0,35.0,HIGH,1804535264.0,1783709948.0,20825316.0,28227.0,27805.830045530456,14.8,False,False,1,1,9.2
82,84856.0,6762.0,5487.0,35744.0,12249.0,35.6,HIGH,1902273227.0,1897714027.0,4559201.0,30195.0,30096.497722755223,19.21,True,False,1,1,14.4
83,65767.0,486.0,3483.0,33620.0,3969.0,33.8,HIGH,1440382398.0,1418991783.0,21390616.0,22256.0,21825.81652742656,14.5,False,False,1,1,6.0
84,81971.0,388.0,5347.0,35356.0,5735.0,42.1,HIGH,2176049621.0,2148176417.0,27873203.0,34475.0,33939.01127838062,11.2,False,False,1,1,7.0
85,110164.0,16534.0,4142.0,36766.0,20676.0,43.0,HIGH,2955835446.0,2928572353.0,27263094.0,47424.0,46898.00789526022,11.5,False,False,1,1,18.8
86,100407.0,0.0,4642.0,39532.0,4642.0,51.7,HIGH,3208063973.0,3206352723.0,1711249.0,51945.0,51910.61624874537,14.5,False,True,1,1,4.6
87,52978.0,279.0,5598.0,36841.0,5877.0,1.9,LOW,174001254.0,151851066.0,22150188.0,1004.0,560.9185718823237,14.1,False,False,1,0,11.1
88,81179.0,0.0,4873.0,32921.0,4873.0,44.3,HIGH,2255289866.0,2248029199.0,7260667.0,35992.0,35820.9253612441,24.89,True,False,1,1,6.0
89,113593.0,6915.0,2971.0,36949.0,9887.0,53.7,HIGH,3768063500.0,3740800407.0,27263094.0,60950.0,60424.17796350828,11.5,False,False,1,1,8.7
90,68360.0,2386.0,3758.0,38178.0,6144.0,24.4,HIGH,1110060372.0,1103598895.0,6461477.0,16714.0,16555.575670225873,26.91,True,False,1,1,9.0
91,113375.0,617.0,3641.0,38231.0,4258.0,61.1,HIGH,4247621466.0,4244144943.0,3476523.0,69297.0,69226.37478742926,15.31,True,False,1,1,3.8
92,80113.0,19916.0,1830.0,35078.0,21746.0,21.3,HIGH,1134217098.0,1112826482.0,21390616.0,17098.0,16667.35702247654,14.5,False,False,1,1,27.1
93,109863.0,24085.0,2521.0,40528.0,26606.0,33.3,HIGH,2314042058.0,2286778964.0,27263094.0,36582.0,36056.42958243224,11.5,False,False,1,1,24.2
94,128295.0,0.0,7249.0,42836.0,7249.0,55.1,HIGH,4365302765.0,4341417449.0,23885316.0,70657.0,70184.82555827542,13.2,False,False,1,1,5.7
95,75488.0,21215.0,500.0,36426.0,21715.0,14.4,MEDIUM,763147572.0,734455073.0,28692499.0,10893.0,10344.980513125356,10.8,False,False,1,1,28.8
96,142000.0,427.0,3781.0,36356.0,4208.0,69.3,HIGH,5986810637.0,5984348844.0,2461793.0,98388.0,98342.01566313539,9.8,False,True,1,1,3.0
97,64504.0,16384.0,5741.0,34976.0,22124.0,0.0,LOW,95749396.0,95749396.0,0.0,0.0,0.0,14.1,False,False,0,0,34.3
98,89302.0,1726.0,5404.0,37406.0,7130.0,42.4,HIGH,2386634456.0,2365243840.0,21390616.0,37880.0,37449.81632128159,14.5,False,False,1,1,8.0
99,72862.0,216.0,1926.0,35421.0,2142.0,42.7,HIGH,1954651781.0,1952011519.0,2640262.0,31133.0,31072.152885327116,23.68,True,False,1,1,2.9
100,83019.0,11882.0,1877.0,38909.0,13758.0,31.8,HIGH,1682338200.0,1676811532.0,5526668.0,26396.0,26275.890154880577,19.94,True,False,1,1,16.6
101,69403.0,1850.0,4055.0,36350.0,5905.0,26.2,HIGH,1202747365.0,1181922049.0,20825316.0,18170.0,17749.697891758642,14.8,False,False,1,1,8.5
102,63355.0,172.0,2721.0,39177.0,2892.0,18.8,MEDIUM,832851077.0,810700889.0,22150188.0,11898.0,11455.002296407962,14.1,False,False,1,1,4.6
103,138515.0,539.0,3863.0,36674.0,4402.0,66.0,HIGH,5595618427.0,5564846015.0,30772412.0,91450.0,90869.45128961306,9.8,False,False,1,1,3.2
104,71121.0,513.0,4196.0,35133.0,4708.0,39.7,HIGH,1779747376.0,1777311417.0,2435959.0,28257.0,28201.902197396364,22.01,True,False,1,1,6.6
105,71904.0,24284.0,800.0,36122.0,25084.0,6.7,LOW,397153467.0,369280264.0,27873203.0,4802.0,4266.897387600786,11.2,False,False,1,1,34.9
106,97674.0,9756.0,629.0,38685.0,10385.0,42.8,HIGH,2620916374.0,2592223875.0,28692499.0,41770.0,41221.79954640692,10.8,False,False,1,1,10.6
107,79088.0,2074.0,4612.0,37704.0,6687.0,34.5,HIGH,1730815884.0,1728519151.0,2296734.0,27312.0,27259.64435513322,22.73,True,False,1,1,8.5
108,58570.0,0.0,4132.0,33957.0,4132.0,20.1,HIGH,812250240.0,791424924.0,20825316.0,11752.0,11331.227468393601,14.8,False,False,1,1,7.1
109,84850.0,6419.0,6803.0,40846.0,13222.0,26.6,HIGH,1467439597.0,1460852992.0,6586605.0,22567.0,22406.815504485,26.46,True,False,1,1,15.6
110,71302.0,0.0,8441.0,33957.0,8441.0,27.2,HIGH,1271081752.0,1250256436.0,20825316.0,19393.0,18971.894840739227,14.8,False,False,1,1,11.8
111,52534.0,0.0,2667.0,36736.0,2667.0,13.4,MEDIUM,531091034.0,501778918.0,29312116.0,7023.0,6464.908026746712,10.5,False,False,1,1,5.1
112,59233.0,16332.0,3488.0,39445.0,19820.0,0.0,LOW,90114690.0,90114690.0,0.0,0.0,0.0,14.8,False,False,0,0,33.5
113,70045.0,0.0,2724.0,38458.0,2724.0,31.2,HIGH,1426411194.0,1105938851.0,320472342.0,21842.0,16360.642879144008,12.9,False,False,1,1,3.9
114,112559.0,0.0,3442.0,36569.0,3442.0,61.3,HIGH,4242309884.0,4234158915.0,8150969.0,69016.0,68831.26539185457,22.51,True,False,1,1,3.1
115,58981.0,15633.0,2149.0,35814.0,17782.0,0.0,LOW,82386580.0,82386580.0,0.0,0.0,0.0,15.2,False,False,0,0,30.1
116,110012.0,16061.0,500.0,37973.0,16561.0,43.9,HIGH,3010881584.0,2890864892.0,120016692.0,48264.0,46168.438725965774,13.2,False,False,1,1,15.1
117,112560.0,6111.0,4120.0,36331.0,10230.0,55.0,HIGH,3810151820.0,3804654072.0,5497748.0,61888.0,61758.50360833119,24.9,True,False,1,1,9.1
118,95703.0,743.0,3017.0,41185.0,3760.0,44.7,HIGH,2678334643.0,2672765026.0,5569618.0,42739.0,42596.83869750673,29.44,True,False,1,1,3.9
119,84616.0,10.0,5100.0,33957.0,5109.0,45.3,HIGH,2389309900.0,2386401787.0,2908113.0,38353.0,38279.42098444384,28.89,True,False,1,1,6.0
120,74217.0,78.0,3011.0,37114.0,3090.0,36.8,HIGH,1751525716.0,1722833216.0,28692499.0,27339.0,26790.87940078846,10.8,False,False,1,1,4.2
121,133640.0,0.0,933.0,39218.0,933.0,65.5,HIGH,5364861564.0,5337598470.0,27263094.0,87479.0,86952.59118404542,11.5,False,False,1,1,0.7
122,127580.0,23512.0,3119.0,37826.0,26631.0,44.8,HIGH,3542919869.0,3515656776.0,27263094.0,57164.0,56638.388441826,11.5,False,False,1,1,20.9
123,76823.0,10831.0,500.0,40976.0,11331.0,23.5,HIGH,1204358223.0,1176485019.0,27873203.0,18073.0,17537.764476167864,11.2,False,False,1,1,14.7
124,60517.0,616.0,7669.0,40542.0,8284.0,7.8,LOW,403034955.0,380310713.0,22724242.0,4705.0,4252.430166329439,13.8,False,False,1,1,13.7
125,75594.0,4281.0,6587.0,39068.0,10867.0,25.9,HIGH,1289192695.0,1260500195.0,28692499.0,19567.0,19018.541053038884,10.8,False,False,1,1,14.4
126,117448.0,22759.0,500.0,40479.0,23259.0,42.9,HIGH,3118626856.0,3116331456.0,2295400.0,50431.0,50386.792539068505,10.8,False,True,1,1,19.8
127,85574.0,21748.0,2836.0,34282.0,24585.0,24.1,HIGH,1343731623.0,1322341007.0,21390616.0,20620.0,20189.303099082124,14.5,False,False,1,1,28.7
128,63235.0,14134.0,4054.0,37466.0,18188.0,0.0,LOW,95963916.0,95963916.0,0.0,0.0,0.0,14.1,False,False,0,0,28.8
129,96595.0,6012.0,4924.0,41897.0,10936.0,40.7,HIGH,2467089907.0,2460825981.0,6263926.0,39337.0,39200.62881290107,19.98,True,False,1,1,11.3
130,61287.0,4912.0,5523.0,37517.0,10434.0,5.1,LOW,302351070.0,282272655.0,20078414.0,3112.0,2703.9632595544977,15.2,False,False,1,1,17.0
131,70258.0,1489.0,5784.0,36538.0,7273.0,28.1,HIGH,1295793977.0,1274403362.0,21390616.0,19733.0,19302.40550827957,14.5,False,False,1,1,10.4
132,55430.0,0.0,5727.0,39481.0,5727.0,0.1,LOW,123451805.0,120557830.0,2893975.0,59.0,0.0,15.2,False,False,0,0,10.3
133,79880.0,9134.0,2332.0,38268.0,11466.0,29.4,HIGH,1520424932.0,1491732433.0,28692499.0,23445.0,22896.684844866788,10.8,False,False,1,1,14.4
134,52959.0,1090.0,7665.0,38224.0,8755.0,0.0,LOW,87563550.0,87563550.0,0.0,0.0,0.0,15.2,False,False,0,0,16.5
135,63090.0,5762.0,7659.0,40491.0,13422.0,0.0,LOW,114368535.0,105984875.0,8383660.0,0.0,0.0,14.8,False,False,0,0,21.3
136,142000.0,22629.0,2266.0,40221.0,24895.0,52.9,HIGH,4600532322.0,4598070529.0,2461793.0,75153.0,75106.63441045053,9.8,False,True,1,1,17.5
137,77065.0,1311.0,3176.0,34029.0,4488.0,40.3,HIGH,1969781684.0,1947057442.0,22724242.0,31052.0,30599.43632494606,13.8,False,False,1,1,5.8
138,71383.0,24202.0,2079.0,34696.0,26280.0,4.3,LOW,291028614.0,266556271.0,24472342.0,3054.0,2572.7925483611407,12.9,False,False,1,1,36.8
139,59555.0,0.0,826.0,33852.0,826.0,31.1,HIGH,1214853499.0,1185541383.0,29312116.0,18522.0,17964.63111630394,10.5,False,False,1,1,1.4
140,83856.0,65.0,3457.0,33666.0,3522.0,50.1,HIGH,2610079479.0,2603881091.0,6198388.0,42011.0,41873.95396109546,20.8,True,False,1,1,4.2
141,90873.0,7301.0,1909.0,34314.0,9210.0,44.8,HIGH,2546533843.0,2517841343.0,28692499.0,40692.0,40143.85335001587,10.8,False,False,1,1,10.1
142,71530.0,804.0,5724.0,36164.0,6528.0,33.8,HIGH,1536582714.0,1534764775.0,1817939.0,24208.0,24171.52649199593,13.8,False,True,1,1,9.1
143,93639.0,0.0,3725.0,38998.0,3725.0,48.2,HIGH,2823641785.0,2792869373.0,30772412.0,45167.0,44586.61308877691,9.8,False,False,1,1,4.0
144,77573.0,4031.0,3136.0,34757.0,7167.0,36.6,HIGH,1810125693.0,1788735078.0,21390616.0,28365.0,27935.178779611437,14.5,False,False,1,1,9.2
145,92085.0,12589.0,5375.0,37100.0,17964.0,32.7,HIGH,1921670419.0,1900279803.0,21390616.0,30142.0,29711.70403936508,14.5,False,False,1,1,19.5
146,69753.0,7270.0,5252.0,40150.0,12522.0,10.8,MEDIUM,572843523.0,552018208.0,20825316.0,7528.0,7107.172529966714,14.8,False,False,1,1,18.0
147,77020.0,0.0,6405.0,35406.0,6405.0,32.9,HIGH,1629456349.0,1609377934.0,20078414.0,25310.0,24902.495908573583,15.2,False,False,1,1,8.3
148,59706.0,854.0,5201.0,36548.0,6055.0,12.5,MEDIUM,561292298.0,539142110.0,22150188.0,7466.0,7023.338476729045,14.1,False,False,1,1,10.1
149,127767.0,195.0,1610.0,38844.0,1804.0,63.3,HIGH,4962429507.0,4931657095.0,30772412.0,80814.0,80234.11328620886,9.8,False,False,1,1,1.4
150,74928.0,21259.0,3212.0,36790.0,24471.0,8.7,MEDIUM,504771055.0,482046813.0,22724242.0,6537.0,6084.391677557625,13.8,False,False,1,1,32.7
151,60701.0,13523.0,5191.0,35815.0,18714.0,0.0,LOW,81917370.0,81917370.0,0.0,0.0,0.0,14.8,False,False,0,0,30.8
152,54033.0,1528.0,2497.0,41215.0,4024.0,5.5,LOW,297327505.0,265402945.0,31924560.0,2952.0,2348.392097682611,11.2,False,False,1,1,7.4
153,96758.0,1488.0,6112.0,32873.0,7600.0,51.0,HIGH,3062885204.0,3038999888.0,23885316.0,49320.0,48848.07270602677,13.2,False,False,1,1,7.9
154,79737.0,6452.0,4097.0,38032.0,10549.0,30.8,HIGH,1586398095.0,1561925753.0,24472342.0,24527.0,24046.00873584805,12.9,False,False,1,1,13.2
155,67538.0,671.0,500.0,35148.0,1171.0,38.4,HIGH,1664228113.0,1642837498.0,21390616.0,25936.0,25505.865441116,14.5,False,False,1,1,1.7
156,80589.0,17928.0,3784.0,36811.0,21712.0,20.2,HIGH,1084643440.0,1055331324.0,29312116.0,16248.0,15690.4563035444,10.5,False,False,1,1,26.9
157,123768.0,22643.0,2040.0,34225.0,24683.0,47.4,HIGH,3621926332.0,3591153920.0,30772412.0,58643.0,58062.48587074918,9.8,False,False,1,1,19.9
158,127373.0,3454.0,4746.0,39971.0,8200.0,57.4,HIGH,4501827308.0,4474564215.0,27263094.0,73066.0,72540.04109091722,11.5,False,False,1,1,6.4
159,75859.0,18113.0,4989.0,37310.0,23102.0,10.7,MEDIUM,600992982.0,578268740.0,22724242.0,8120.0,7667.393948081877,13.8,False,False,1,1,30.5
160,60118.0,2393.0,892.0,38268.0,3285.0,17.2,MEDIUM,723232635.0,717000389.0,6232246.0,10318.0,10173.345906675735,23.84,True,False,1,1,5.5
161,55661.0,0.0,4869.0,32383.0,4869.0,20.9,HIGH,799620725.0,775148383.0,24472342.0,11620.0,11138.838410946915,12.9,False,False,1,1,8.7
162,77160.0,6433.0,4441.0,37421.0,10874.0,28.8,HIGH,1445648108.0,1416955609.0,28692499.0,22230.0,21681.99010588156,10.8,False,False,1,1,14.1
163,77875.0,2199.0,2977.0,34830.0,5176.0,36.5,HIGH,1815168641.0,1794343325.0,20825316.0,28429.0,28008.58832255845,14.8,False,False,1,1,6.6
164,77438.0,564.0,3439.0,37450.0,4004.0,37.1,HIGH,1838281373.0,1815557131.0,22724242.0,28737.0,28284.3994738344,13.8,False,False,1,1,5.2
